t,group1,group1,group1,group1,group1,group1,group1,group1,group1,group1,group1,group1,group1,group2,group2,group2,group2,group2,group2,group2,group2,group2,group2,group2,group2,group2,group3,group3,group3,group3,group3,group3,group3,group3,group3,group3,group3,group3,group3
0.025,37,47,46,37,20,57,46,46,46,35,38,35,34,43,43,40,51,52,36,35,46,43,55,39,37,36,36,42,38,46,54,52,32,46,46,48,44,55,48
0.075,36,46,44,36,18,48,38,46,42,34,37,31,31,41,37,41,49,46,33,37,38,41,51,38,34,33,33,40,34,47,48,44,28,41,44,42,41,56,50
0.125,33,42,39,27,11,44,33,43,37,29,33,29,27,36,35,36,45,41,28,33,30,37,47,31,30,28,30,40,30,44,44,44,26,38,40,42,38,51,47
0.175,29,34,34,20,8,35,25,40,34,28,29,26,23,31,28,32,39,35,22,27,23,30,41,27,27,22,28,34,23,37,37,33,22,31,35,35,32,46,42
0.225,23,27,33,15,7,31,18,36,31,19,26,22,19,26,26,27,31,31,18,22,17,24,35,21,26,18,21,23,17,29,30,28,19,25,31,30,24,41,37
0.275,18,21,27,15,5,27,15,30,25,15,20,19,15,20,21,20,23,24,13,14,13,16,30,14,19,13,15,15,12,23,27,27,13,20,25,23,18,36,29
0.325,15,16,21,10,1,21,14,24,19,13,14,15,13,16,20,17,16,18,11,9,7,12,26,9,15,11,8,11,8,19,21,23,8,13,19,19,10,30,22
0.375,12,12,15,6,0,18,10,17,17,6,9,11,10,13,15,10,9,12,7,6,3,8,23,9,10,7,1,7,4,14,18,24,5,7,15,14,6,25,14
0.425,9,4,7,3,-2,14,8,12,13,0,3,6,6,10,13,5,4,6,1,4,0,5,20,6,4,1,-5,5,1,8,15,19,-1,1,10,9,3,21,8
0.475,6,-1,1,0,-4,10,4,7,10,-1,-2,3,1,8,7,-2,0,3,-2,-1,-3,2,11,4,0,-2,-11,6,0,3,11,15,-6,-4,5,4,0,15,5
0.525,4,-2,-3,3,-4,8,0,1,5,2,-1,0,0,4,3,-4,-5,2,-3,1,-3,1,8,2,0,-3,-12,8,-4,-2,12,15,-5,-3,3,-1,-2,8,8
0.575,6,2,-1,4,1,8,3,3,7,11,5,4,3,12,8,-2,1,5,-3,2,1,8,10,3,4,-3,-7,12,-4,1,20,16,0,-2,6,3,-1,5,15
0.625,13,12,10,10,10,11,9,12,13,20,15,16,8,19,16,7,10,12,2,11,11,16,19,13,12,2,4,22,1,12,30,24,12,8,14,9,6,9,24
0.675,22,24,22,14,18,21,19,24,21,30,24,27,16,27,25,24,21,22,13,17,20,24,35,30,22,13,16,33,10,26,41,32,22,22,27,25,20,19,36
0.725,31,34,34,23,27,32,31,35,29,39,36,35,27,37,35,38,33,32,22,34,36,33,41,37,31,22,26,43,22,39,50,43,30,34,40,37,36,31,51
0.775,38,42,43,31,36,40,37,44,39,45,44,41,34,41,43,49,44,42,32,35,48,42,52,47,40,32,37,51,32,48,56,52,36,45,48,45,44,43,59
0.825,43,47,51,33,34,49,46,49,47,48,47,44,40,44,49,57,51,46,39,40,55,48,57,53,43,39,44,57,38,52,61,58,39,53,53,52,49,52,63
0.875,44,48,53,35,33,55,45,49,51,48,45,45,41,44,50,59,55,48,41,43,57,48,61,53,43,41,47,58,41,48,59,59,36,57,53,53,46,56,64
0.925,40,45,50,34,32,56,46,47,52,43,42,40,39,41,45,54,56,49,38,43,56,48,63,49,38,38,44,54,41,43,57,57,30,55,50,52,38,59,61
0.975,35,43,49,32,28,55,41,43,47,39,40,39,36,37,46,46,51,46,34,42,50,46,58,44,38,34,37,46,40,42,58,52,29,43,47,46,35,59,55
